time 	 p1 	 p2 	 dp
1588992466.028959 	 0.034356 	 -0.005975 	 -0.040331
1588992466.101830 	 0.041824 	 0.012697 	 -0.029128
1588992466.114022 	 0.038339 	 -0.002490 	 -0.040829
1588992466.121409 	 0.030870 	 -0.002490 	 -0.033360
1588992466.129214 	 0.030621 	 0.006722 	 -0.023900
1588992466.142725 	 0.028132 	 -0.007967 	 -0.036098
1588992466.154468 	 0.028132 	 -0.010456 	 -0.038588
1588992466.171349 	 0.052032 	 -0.004979 	 -0.057011
1588992466.290742 	 0.038090 	 -0.007718 	 -0.045808
1588992466.364932 	 0.034605 	 -0.009460 	 -0.044065
1588992466.376800 	 0.020663 	 -0.022406 	 -0.043069
1588992466.498771 	 0.017676 	 -0.008216 	 -0.025891
1588992466.601288 	 0.034356 	 0.010456 	 -0.023900
1588992466.703272 	 0.011452 	 -0.033858 	 -0.045310
1588992466.806950 	 0.021659 	 -0.004232 	 -0.025891
1588992466.908796 	 0.058255 	 -0.001743 	 -0.059998
1588992467.012796 	 0.026389 	 -0.017925 	 -0.044314
1588992467.112493 	 0.024896 	 0.001992 	 -0.022904
1588992467.213355 	 0.049542 	 -0.027136 	 -0.076678
1588992467.311461 	 0.054770 	 -0.014688 	 -0.069458
1588992467.408087 	 0.047053 	 -0.012448 	 -0.059500
1588992467.506881 	 0.052778 	 0.012697 	 -0.040082
1588992467.605145 	 0.047550 	 0.006224 	 -0.041327
1588992467.706071 	 0.038588 	 0.030124 	 -0.008464
1588992467.807509 	 0.044812 	 -0.001743 	 -0.046555
1588992467.909978 	 0.047550 	 0.007469 	 -0.040082
1588992468.011929 	 0.054023 	 -0.005726 	 -0.059749
1588992468.116208 	 0.033858 	 0.001494 	 -0.032364
1588992468.221624 	 0.049293 	 0.006971 	 -0.042322
1588992468.303152 	 0.050289 	 0.007220 	 -0.043069
1588992468.377584 	 0.051534 	 0.018921 	 -0.032613
1588992468.490294 	 0.044563 	 -0.002739 	 -0.047301
1588992468.606255 	 0.049044 	 -0.000996 	 -0.050040
1588992468.759815 	 0.037592 	 0.006473 	 -0.031119
1588992468.770535 	 0.034356 	 0.001992 	 -0.032364
1588992468.892123 	 0.032115 	 -0.002490 	 -0.034605
1588992469.012770 	 0.053525 	 -0.019170 	 -0.072695
1588992469.117290 	 0.045310 	 0.001992 	 -0.043318
1588992469.272419 	 0.055019 	 0.000000 	 -0.055019
1588992469.294889 	 0.065724 	 0.001992 	 -0.063732
1588992469.412465 	 0.060994 	 0.002739 	 -0.058255
